Method,File_name,File_size,Chunks_sent,Transmission_time,Energy_for_transmission,Compression_encryption_time,Energy_for_compression_encryption
VAE,0001v,1017,5,5.03,1.54,12.70,4.83
VAE,0002v,1015,5,5.02,1.38,9.58,3.46
VAE,0003v,1015,5,5.02,1.50,11.03,4.54
VAE,0004v,1015,5,5.02,1.49,9.39,3.81
VAE,0005v,1016,5,5.02,1.53,9.21,3.75
VAE,0006v,1017,5,5.02,1.53,9.10,3.70
VAE,0007v,1017,5,5.02,1.51,9.55,3.85
VAE,0008v,1015,5,5.02,1.51,9.49,3.82
VAE,0009v,1018,5,5.02,1.52,9.39,3.80
VAE,0010v,1016,5,5.02,1.52,9.25,3.75
VAE,0011v,1017,5,5.02,1.51,9.66,3.86
VAE,0012v,1016,5,5.02,1.52,9.45,3.81
VAE,0013v,1015,5,5.03,1.53,9.51,3.82
VAE,0014v,1017,5,5.03,1.55,9.10,3.68
VAE,0015v,1016,5,5.03,1.50,9.67,3.88
VAE,0016v,1016,5,5.03,1.51,9.68,3.90
VAE,0017v,1016,5,5.03,1.53,9.32,3.77
VAE,0018v,1016,5,5.03,1.54,9.51,3.81
VAE,0019v,1015,5,5.03,1.53,9.62,3.87
VAE,0020v,1016,5,5.03,1.50,9.48,3.84
VAE,0021v,1015,5,5.03,1.53,9.62,3.90
VAE,0022v,1017,5,5.03,1.54,9.38,3.79
VAE,0023v,1014,5,5.03,1.50,9.98,3.99
VAE,0024v,1016,5,5.03,1.52,9.41,3.82
VAE,0025v,1016,5,5.04,1.52,9.17,3.75
VAE,0026v,1016,5,5.03,1.52,9.95,3.98
VAE,0027v,1018,5,5.04,1.52,9.65,3.87
VAE,0028v,1016,5,5.03,1.51,9.62,3.86
VAE,0029v,1014,5,5.03,1.53,9.44,3.81
VAE,0030v,1014,5,5.03,1.53,9.69,3.87
VAE,0031v,1015,5,5.04,1.51,9.64,3.88
VAE,0032v,1016,5,5.03,1.52,9.82,3.94
VAE,0033v,1017,5,5.03,1.54,9.34,3.77
VAE,0034v,1015,5,5.03,1.52,9.82,3.94
VAE,0035v,1016,5,5.04,1.52,9.64,3.89
VAE,0036v,1017,5,5.05,1.54,9.47,3.85
VAE,0037v,1016,5,5.03,1.53,10.03,4.01
VAE,0038v,1015,5,5.05,1.52,9.76,3.92
VAE,0039v,1016,5,5.04,1.53,9.57,3.86
VAE,0040v,1016,5,5.04,1.54,9.53,3.84
VAE,0041v,1017,5,5.04,1.51,9.87,3.96
VAE,0042v,1017,5,5.04,1.52,9.72,3.93
VAE,0043v,1016,5,5.05,1.55,9.94,3.99
VAE,0044v,1017,5,5.04,1.53,9.65,3.90
VAE,0045v,1017,5,5.04,1.53,9.94,4.00
