Method,File_name,File_size,Chunks_sent,Transmission_time,Energy_for_transmission,Compression_encryption_time,Energy_for_compression_encryption
CRYSTALS-Kyber,0001q,1032,5,9.08,2.81,9.52,3.86
CRYSTALS-Kyber,0001t,768,4,0,0,0,0
CRYSTALS-Kyber,0002q,1032,5,9.04,2.69,8.92,3.68
CRYSTALS-Kyber,0002t,768,4,0,0,0,0
CRYSTALS-Kyber,0003q,1032,5,9.04,2.68,9.40,3.82
CRYSTALS-Kyber,0003t,768,4,0,0,0,0
CRYSTALS-Kyber,0004q,1032,5,9.04,2.71,8.84,3.63
CRYSTALS-Kyber,0004t,768,4,0,0,0,0
CRYSTALS-Kyber,0005q,1033,5,9.04,2.72,9.16,3.76
CRYSTALS-Kyber,0005t,768,4,0,0,0,0
CRYSTALS-Kyber,0006q,1032,5,9.04,2.69,9.21,3.76
CRYSTALS-Kyber,0006t,768,4,0,0,0,0
CRYSTALS-Kyber,0007q,1033,5,9.04,2.71,9.34,3.82
CRYSTALS-Kyber,0007t,768,4,0,0,0,0
CRYSTALS-Kyber,0008q,1032,5,9.05,2.69,9.43,3.87
CRYSTALS-Kyber,0008t,768,4,0,0,0,0
CRYSTALS-Kyber,0009q,1032,5,9.04,2.72,9.00,3.70
CRYSTALS-Kyber,0009t,768,4,0,0,0,0
CRYSTALS-Kyber,0010q,1033,5,9.05,2.72,9.23,3.80
CRYSTALS-Kyber,0010t,768,4,0,0,0,0
CRYSTALS-Kyber,0011q,1031,5,9.04,2.72,9.22,3.79
CRYSTALS-Kyber,0011t,768,4,0,0,0,0
CRYSTALS-Kyber,0012q,1033,5,9.05,2.72,9.40,3.85
CRYSTALS-Kyber,0012t,768,4,0,0,0,0
CRYSTALS-Kyber,0013q,1033,5,9.04,2.70,9.39,3.85
CRYSTALS-Kyber,0013t,768,4,0,0,0,0
CRYSTALS-Kyber,0014q,1031,5,9.05,2.70,9.13,3.75
CRYSTALS-Kyber,0014t,768,4,0,0,0,0
CRYSTALS-Kyber,0015q,1032,5,9.05,2.71,9.50,3.89
CRYSTALS-Kyber,0015t,768,4,0,0,0,0
CRYSTALS-Kyber,0016q,1034,5,9.05,2.71,9.18,3.79
CRYSTALS-Kyber,0016t,768,4,0,0,0,0
CRYSTALS-Kyber,0017q,1032,5,9.04,2.73,9.28,3.82
CRYSTALS-Kyber,0017t,768,4,0,0,0,0
CRYSTALS-Kyber,0018q,1032,5,9.04,2.72,9.43,3.86
CRYSTALS-Kyber,0018t,768,4,0,0,0,0
CRYSTALS-Kyber,0019q,1032,5,9.05,2.73,9.20,3.81
CRYSTALS-Kyber,0019t,768,4,0,0,0,0
CRYSTALS-Kyber,0020q,1032,5,9.06,2.73,9.31,3.85
CRYSTALS-Kyber,0020t,768,4,0,0,0,0
CRYSTALS-Kyber,0021q,1033,5,9.06,2.73,9.23,3.81
CRYSTALS-Kyber,0021t,768,4,0,0,0,0
CRYSTALS-Kyber,0022q,1031,5,9.04,2.72,9.49,3.91
CRYSTALS-Kyber,0022t,768,4,0,0,0,0
CRYSTALS-Kyber,0023q,1032,5,9.04,2.71,9.32,3.82
